Agent,Username,Case Deposit,Deposit Amount,Case Withdraw,Withdraw Amount,Month
JMMY,HAKIMI127,11,300,2,290,February
JMMY,Panther_69Mk,1,130,0,0,February
JMMY,WCKTO49,26,1490,4,1104,February
JMMY,sabturain37MK,1,50,0,0,February
JMMY,Wathy322,7,230,0,0,February
JMMY,PREMA906,2,140,2,300,February
JMMY,Iskandar91,10,200,0,0,February
JMMY,Chan999,16,525,2,330,February
JMMY,IDABDUL49,3,150,0,0,February
JMMY,frank93,9,290,2,329,February
JMMY,bercanda96,13,610,2,200,February
JMMY,muc257YN,2,100,0,0,February
JMMY,Macbride78,4,125,0,0,February
JMMY,yaya70MR,1,50,0,0,February
JMMY,POH14ii,2,60,0,0,February
JMMY,sakal47,4,220,0,0,February
JMMY,JUICE501,29,1562,11,1720,February
JMMY,jarum19D,1,20,0,0,February
JMMY,jambuuu69J,1,100,0,0,February
JMMY,farhan188J,3,150,0,0,February
JMMY,CVGTO18,1,30,0,0,February
JMMY,poul13HH,1,20,0,0,February
JMMY,vior13to,1,20,0,0,February
JMMY,bule22D,1,70,0,0,February
JMMY,vitoria63,0,0,0,0,February
JMMY,izza481Z,7,225,0,0,February
JMMY,riezman33J,2,70,0,0,February
JMMY,kendit13D,1,150,0,0,February
JMMY,abdul75Z,27,2210,1,2019,February
JMMY,ingus67MR,42,1867.7,8,1470,February
JMMY,peach89,6,180,2,306,February
JMMY,muniandy38,16,1012,3,813,February
JMMY,LAHH40,7,280,0,0,February
JMMY,Bulkhaini34,9,270,1,150,February
JMMY,ZAR91ma,2,60,0,0,February
JMMY,MSBBMY66,15,419,2,508,February
JMMY,manis05J,9,360,3,480,February
JMMY,peci51,3,109,1,100,February
JMMY,CapLipak42ii,20,845.85,2,300,February
JMMY,Apr-10,67,13089,12,2840,February
JMMY,nathan3J,1,50,0,0,February
JMMY,ogiogi78,0,0,0,0,February
JMMY,lplp47,76,6230,13,3850,February
JMMY,netra752Z,1,100,0,0,February
JMMY,joynal083,7,830,1,1502,February
JMMY,haziq92,0,0,0,0,February
JMMY,BIMANTARA,3,150,0,0,February
JMMY,Perlis586,0,0,0,0,February
JMMY,Mummy888,43,1730,6,1200,February
JMMY,SuperMat,6,7000,2,4200,February
JMMY,IDDodi166,7,150,0,0,February
JMMY,pokame33D,7,480,1,400,February
JMMY,vivos83J,4,110,1,100,February
JMMY,soery3J,27,2395,2,1000,February
JMMY,akhr73D,3,255,0,0,February
JMMY,cryta504YN,1,200,0,0,February
JMMY,GVCTO74,1,50,0,0,February
JMMY,onemore63MR,2,50,0,0,February
JMMY,ucil94D,1,80,0,0,February
JMMY,supi28Z,4,230,0,0,February
JMMY,hantu3J,2,400,0,0,February
JMMY,2Tangan803,0,0,0,0,February
JMMY,semi31HH,1,20,0,0,February
JMMY,Aizuddin97,8,900,0,0,February
JMMY,diner84HH,2,50,0,0,February
JMMY,goway84HH,2,50,0,0,February
JMMY,cuck82MR,1,100,0,0,February
JMMY,ewasu003V,14,1840,1,1095,February
JMMY,bri51MR,1,20,0,0,February
JMMY,sidek733,4,270,0,0,February
JMMY,jery24,23,2230,1,2380,February
JMMY,bale41HH,0,0,0,0,February
JMMY,pendam21D,1,30,0,0,February
JMMY,cekut04MR,2,50,0,0,February
JMMY,naqui48D,7,900,1,2803,February
JMMY,auss057,12,456.7,1,100,February
