Username,Case Deposit,Deposit Amount,Case Withdraw,Withdraw Amount,,,,,,,,,,,,
aja85,6,206,1,200,,,,,,,,,,,,
KLMO130,3,100,0,0,,,,,,,,,,,,
Peng478YN,13,350,3,874,,,,,,,,,,,,
MANDAL235J,2,100,1,200,,,,,,,,,,,,
apale24MR,2,50,0,0,,,,,,,,,,,,
Robert907,13,610,5,750,,,,,,,,,,,,
NORMAL06,3,150,0,0,,,,,,,,,,,,
cintaku187,20,606,3,400,,,,,,,,,,,,
arshad583,3,80,0,0,,,,,,,,,,,,
ggede877J,2,100,1,150,,,,,,,,,,,,
aril73,9,370,1,200,,,,,,,,,,,,
Sasihkunar28J,2,60,0,0,,,,,,,,,,,,
sungai64J,8,245,1,101,,,,,,,,,,,,
sukurr272,5,265,0,0,,,,,,,,,,,,
See66,18,900,5,651,,,,,,,,,,,,
Thian57,1,30,0,0,,,,,,,,,,,,
OMAR30,1,30,0,0,,,,,,,,,,,,
suii42D,5,160,1,154,,,,,,,,,,,,
Nadhira354,3,60,0,0,,,,,,,,,,,,
utai82Z,1,30,0,0,,,,,,,,,,,,
berTO36,13,350,1,132,,,,,,,,,,,,
gigi567,1,30,0,0,,,,,,,,,,,,
Jahangir3J,3,150,1,201,,,,,,,,,,,,
ASITO20,1,30,0,0,,,,,,,,,,,,
KLMTO49,1,30,0,0,,,,,,,,,,,,
Nsyaf84,1,100,0,0,,,,,,,,,,,,
bungsu06,4,155,1,100,,,,,,,,,,,,
peran11HH,5,501,0,0,,,,,,,,,,,,
FAFI95,1,50,0,0,,,,,,,,,,,,
busy82HH,2,200,0,0,,,,,,,,,,,,
BAATO08,1,30,0,0,,,,,,,,,,,,
Hadi918,0,0,0,0,,,,,,,,,,,,
masker96,2,80,0,0,,,,,,,,,,,,
kemeja05D,9,220,1,200,,,,,,,,,,,,
aisyah58,4,80,0,0,,,,,,,,,,,,
bear25D,1,50,0,0,,,,,,,,,,,,
rojali36,13,1070,6,1082,,,,,,,,,,,,
lope25D,1,30,0,0,,,,,,,,,,,,
rika71Z,2,130,0,0,,,,,,,,,,,,
IDGobi61,3,60,0,0,,,,,,,,,,,,
razzz404J,1,50,0,0,,,,,,,,,,,,
RM_37Mk,1,50,0,0,,,,,,,,,,,,
rizal38D,15,940,0,0,,,,,,,,,,,,
ZVATO86,9,250,1,100,,,,,,,,,,,,
acim3J,1,49,0,0,,,,,,,,,,,,
runta19D,1,20,0,0,,,,,,,,,,,,
onde27D,2,100,0,0,,,,,,,,,,,,
notice929J,1,30,0,0,,,,,,,,,,,,
kedua97,1,50,0,0,,,,,,,,,,,,
zaim98MR,1,30,0,0,,,,,,,,,,,,
Talk81,1,40,0,0,,,,,,,,,,,,
zul71,2,70,0,0,,,,,,,,,,,,
Sumbu25ii,1,30,0,0,,,,,,,,,,,,
suat73D,1,100,0,0,,,,,,,,,,,,
mane79D,4,80,1,136,,,,,,,,,,,,
HANTO70,1,50,0,0,,,,,,,,,,,,
sydne588YN,15,900,4,700,,,,,,,,,,,,
PLOTO34,1,30,0,0,,,,,,,,,,,,
baekk61D,1,50,0,0,,,,,,,,,,,,
longyurr31HH,4,132,1,100,,,,,,,,,,,,
Hutabarat93,1,50,0,0,,,,,,,,,,,,
ali59,1,100,0,0,,,,,,,,,,,,
duren12MR,2,60,0,0,,,,,,,,,,,,
malay07HH,1,20,0,0,,,,,,,,,,,,
membot70HH,2,60,0,0,,,,,,,,,,,,
SANJAY680,2,100,0,0,,,,,,,,,,,,
sop94D,7,900,1,200,,,,,,,,,,,,
gala61MR,1,20,0,0,,,,,,,,,,,,
udin33Z,1,50,0,0,,,,,,,,,,,,
AYDTO66,1,50,0,0,,,,,,,,,,,,
bujar62MR,1,30,0,0,,,,,,,,,,,,
amirul39,4,150.01,0,0,,,,,,,,,,,,
ulat004,22,970,3,1521,,,,,,,,,,,,
puyng98D,1,50,0,0,,,,,,,,,,,,
manli26D,5,500,3,610,,,,,,,,,,,,
adaja43D,2,98,0,0,,,,,,,,,,,,
mina45D,1,50,0,0,,,,,,,,,,,,
Juma4196,7,448,1,200,,,,,,,,,,,,
Robiul326,1,150,0,0,,,,,,,,,,,,
shanas71HH,1,20,0,0,,,,,,,,,,,,
SCARYDAD5,0,0,0,0,,,,,,,,,,,,
stnc41S,5,100,1,100,,,,,,,,,,,,
Arep_97MK,1,20,0,0,,,,,,,,,,,,
Kubus44ii,36,2298,7,900,,,,,,,,,,,,
cilukba822J,4,200,1,250,,,,,,,,,,,,
bhimci40S,16,960,4,811,,,,,,,,,,,,
poi046YN,2,60,0,0,,,,,,,,,,,,
ucok58D,1,20,0,0,,,,,,,,,,,,
zzat82D,1,150,0,0,,,,,,,,,,,,
kumarsah90,3,135,0,0,,,,,,,,,,,,
berulang01,4,180,1,326,,,,,,,,,,,,
cih047YN,1,30,0,0,,,,,,,,,,,,
SYDTO96,2,200,0,0,,,,,,,,,,,,
eizat,18,1215,1,500,,,,,,,,,,,,
ceruy60MR,1,20,0,0,,,,,,,,,,,,
imut09D,1,50,0,0,,,,,,,,,,,,
admin677,0,0,0,0,,,,,,,,,,,,
tokin22MR,0,0,0,0,,,,,,,,,,,,
Idi189,1,20,0,0,,,,,,,,,,,,
kura75MR,2,100,0,0,,,,,,,,,,,,
heart559J,3,90,1,100.33,,,,,,,,,,,,
sufian005J,1,20,0,0,,,,,,,,,,,,
dahlia40J,2,50,0,0,,,,,,,,,,,,
bunga643J,1,20,0,0,,,,,,,,,,,,
Joynak764J,8,340,1,150,,,,,,,,,,,,
DEVV249J,1,30,0,0,,,,,,,,,,,,
Blackhole99,5,180,1,200,,,,,,,,,,,,
manji782YN,1,20,0,0,,,,,,,,,,,,
MrsJane44,2,140,0,0,,,,,,,,,,,,
Avifo3j,2,80,0,0,,,,,,,,,,,,
irsyad85,1,30,0,0,,,,,,,,,,,,
FELECIA80,0,0,0,0,,,,,,,,,,,,
obay86Z,1,20,0,0,,,,,,,,,,,,
KIMAL91,1,30,0,0,,,,,,,,,,,,
ajak82Z,4,200,0,0,,,,,,,,,,,,
IllahiMalam841,4,105,1,100,,,,,,,,,,,,
Alfonso44,2,200,0,0,,,,,,,,,,,,
shalove84J,1,50,1,140,,,,,,,,,,,,
abangirb3J,9,290,0,0,,,,,,,,,,,,
tainer21D,1,50,0,0,,,,,,,,,,,,
amin39D,4,200,1,200,,,,,,,,,,,,
with33MR,1,20,0,0,,,,,,,,,,,,
hokisod,4,150,0,0,,,,,,,,,,,,
denis762,3,190,1,250,,,,,,,,,,,,
PERSIB919,12,300,0,0,,,,,,,,,,,,
lagik20MR,1,30,0,0,,,,,,,,,,,,
ismir503,1,20,0,0,,,,,,,,,,,,
pow62,1,100,0,0,,,,,,,,,,,,
timbul63D,0,0,0,0,,,,,,,,,,,,
Eizlan809,4,90,0,0,,,,,,,,,,,,
ucil40D,2,70,0,0,,,,,,,,,,,,
kacamata423,1,40,0,0,,,,,,,,,,,,
Bahari09,2,40,0,0,,,,,,,,,,,,
topeng021,1,150,0,0,,,,,,,,,,,,
ansari584J,3,120,0,0,,,,,,,,,,,,
TUYU55,1,20,0,0,,,,,,,,,,,,
kelinci3J,4,270,0,0,,,,,,,,,,,,
ALWTO69,1,20,0,0,,,,,,,,,,,,
REQTO49,2,120,1,120,,,,,,,,,,,,
panng95D,4,90,1,138.29,,,,,,,,,,,,
mimpii08HH,1,20,0,0,,,,,,,,,,,,
Inthu_84Mk,1,20,0,0,,,,,,,,,,,,
bitte190YN,1,29,0,0,,,,,,,,,,,,
MANDY81,1,20,1,101,,,,,,,,,,,,
illuqqq,6,120,2,233,,,,,,,,,,,,
tiosgpng75D,1,20,0,0,,,,,,,,,,,,
huty05MR,1,20,0,0,,,,,,,,,,,,
sitaram67,1,50,0,0,,,,,,,,,,,,
rest286YN,1,30,0,0,,,,,,,,,,,,
ismail834,1,100,0,0,,,,,,,,,,,,
song15HH,1,30,0,0,,,,,,,,,,,,
subhar03,1,40,0,0,,,,,,,,,,,,
boo404YN,5,167,1,150,,,,,,,,,,,,
vikk09D,27,6090,9,5650,,,,,,,,,,,,
khaikhai3,1,50,0,0,,,,,,,,,,,,
uyup14D,21,1890,5,2256,,,,,,,,,,,,
daolva16HH,1,31,0,0,,,,,,,,,,,,
rofiq246J,9,650,2,1116,,,,,,,,,,,,
Haizardd08J,2,100,1,150,,,,,,,,,,,,
penguin9054,1,20,0,0,,,,,,,,,,,,
IZMA92,1,20,1,300,,,,,,,,,,,,
juarar13D,1,20,0,0,,,,,,,,,,,,
PRETYY977J,2,50,0,0,,,,,,,,,,,,
AMMII52,1,100,0,0,,,,,,,,,,,,
adf725,1,20,0,0,,,,,,,,,,,,
Jhoey78,1,20,0,0,,,,,,,,,,,,
sister03Z,51,9437.46,8,7502,,,,,,,,,,,,
KLDTO58,3,60,1,153,,,,,,,,,,,,
roven99,10,611,1,349,,,,,,,,,,,,
PapaDaniel,1,200,0,0,,,,,,,,,,,,
Aziman_31MK,7,679,0,0,,,,,,,,,,,,
VITO_L51MK,1,50,0,0,,,,,,,,,,,,
TIPII93,1,50,0,0,,,,,,,,,,,,
busbu56MR,1,20,0,0,,,,,,,,,,,,
ram75D,1,30,0,0,,,,,,,,,,,,
juara07,2,80,0,0,,,,,,,,,,,,
Days_45Mk,1,20,0,0,,,,,,,,,,,,
Madjak56J,1,50,0,0,,,,,,,,,,,,
razda09D,29,1193,6,1220,,,,,,,,,,,,
Amran61,1,230,0,0,,,,,,,,,,,,
kelaz65HH,3,350,2,601,,,,,,,,,,,,
martin06HH,2,50,1,100,,,,,,,,,,,,
Nikizud111,1,20,0,0,,,,,,,,,,,,
APAYA7813,1,100,0,0,,,,,,,,,,,,
udin99D,5,165,2,232,,,,,,,,,,,,
Htun_02Mk,2,80,0,0,,,,,,,,,,,,
prpom50HH,1,90,1,200,,,,,,,,,,,,
sulap18D,1,50,0,0,,,,,,,,,,,,
HK_53Mk,2,100,0,0,,,,,,,,,,,,
izat94,2,50,0,0,,,,,,,,,,,,
jimmy48D,8,450,0,0,,,,,,,,,,,,
mauta65D,9,410,0,0,,,,,,,,,,,,
BNKTO79,1,30,0,0,,,,,,,,,,,,
senjaa98J,5,200,1,250,,,,,,,,,,,,
STKTO55,5,120,1,140,,,,,,,,,,,,
nancy57to,7,140,1,200,,,,,,,,,,,,
aman480Z,2,300,0,0,,,,,,,,,,,,
uncledon1271,5,500,0,0,,,,,,,,,,,,
ZR_76MK,1,40,0,0,,,,,,,,,,,,
PSJTO48,5,300,3,966,,,,,,,,,,,,
tukar48,1,30,0,0,,,,,,,,,,,,
cintaku35HH,2,150,1,300,,,,,,,,,,,,
Amieskot,1,100,0,0,,,,,,,,,,,,
kasij22MR,1,30,0,0,,,,,,,,,,,,
AbuMalik542,3,140,0,0,,,,,,,,,,,,
saraswthy056,1,30,0,0,,,,,,,,,,,,
VNHTO14,1,150,0,0,,,,,,,,,,,,
IMBANG52HH,1,30,0,0,,,,,,,,,,,,
Teaa823J,3,150,1,100,,,,,,,,,,,,
noram32J,4,200,1,700,,,,,,,,,,,,
met45S,5,500,0,0,,,,,,,,,,,,
ajart03D,1,30,0,0,,,,,,,,,,,,
kalay05,2,59,0,0,,,,,,,,,,,,
hong36D,18,825,1,309,,,,,,,,,,,,
Agul523,2,80,0,0,,,,,,,,,,,,
abuabu89D,1,100,0,0,,,,,,,,,,,,
zakkk36,2,170,0,0,,,,,,,,,,,,
MrMDMM829,0,0,0,0,,,,,,,,,,,,
bolong912,1,30,0,0,,,,,,,,,,,,
abuy09D,1,100,0,0,,,,,,,,,,,,
Stibo_83MK,1,40,0,0,,,,,,,,,,,,
SAMITO75,1,50,0,0,,,,,,,,,,,,
jianjian68,1,45,0,0,,,,,,,,,,,,
semut07,3,150,1,100,,,,,,,,,,,,
lee566YN,1,30,0,0,,,,,,,,,,,,
brung05D,2,80,0,0,,,,,,,,,,,,
binay93,2,200,1,300,,,,,,,,,,,,
spoke556YN,1,30,0,0,,,,,,,,,,,,
Sujithera28,1,20,0,0,,,,,,,,,,,,
cndraliau6,3,150,0,0,,,,,,,,,,,,
uit71,3,150,1,316,,,,,,,,,,,,
KKV941,1,50,0,0,,,,,,,,,,,,
satemadura15,7,650,3,674,,,,,,,,,,,,
Arasi98ii,2,60,2,219,,,,,,,,,,,,
suup425YN,1,25,0,0,,,,,,,,,,,,
barthes269,1,30,0,0,,,,,,,,,,,,
rahimi007,3,150,0,0,,,,,,,,,,,,
ciplosh38Z,1,30,0,0,,,,,,,,,,,,
BVOTO14,1,20,0,0,,,,,,,,,,,,
ciecie78,4,250,0,0,,,,,,,,,,,,
ow574YN,1,40,0,0,,,,,,,,,,,,
hisyammuddin623,1,20,0,0,,,,,,,,,,,,
kymlym01,2,50,0,0,,,,,,,,,,,,
amon68Z,4,140,0,0,,,,,,,,,,,,
sweat87,4,190,0,0,,,,,,,,,,,,
ruang07D,2,60,0,0,,,,,,,,,,,,
fuii32D,1,50,0,0,,,,,,,,,,,,
Udin651,3,130,0,0,,,,,,,,,,,,
loter46HH,1,20,0,0,,,,,,,,,,,,
sedat847YN,1,52,0,0,,,,,,,,,,,,
Cadel25,1,20,0,0,,,,,,,,,,,,
Atop470,1,30,0,0,,,,,,,,,,,,
bangde3J,1,200,0,0,,,,,,,,,,,,
shree920,3,90,0,0,,,,,,,,,,,,
sYAFIQ43j,2,50,0,0,,,,,,,,,,,,
Cihuy90MK,1,50,0,0,,,,,,,,,,,,
KIko48,4,100,0,0,,,,,,,,,,,,
shrestha41J,1,50,0,0,,,,,,,,,,,,
Rabin_34MK,1,100,0,0,,,,,,,,,,,,
pats974YN,4,80,0,0,,,,,,,,,,,,
avlin001J,6,270,3,760,,,,,,,,,,,,
Chengg345J,7,291,0,0,,,,,,,,,,,,
tata139YN,1,30,0,0,,,,,,,,,,,,
VNTO42,14,430,3,542,,,,,,,,,,,,
FLEXING43,1,30,1,120,,,,,,,,,,,,
MTATO48,8,260,0,0,,,,,,,,,,,,
oget97Z,1,30,0,0,,,,,,,,,,,,
ffan72MR,2,80,0,0,,,,,,,,,,,,
syukri79D,1,20,0,0,,,,,,,,,,,,
MSHTO77,1,50,0,0,,,,,,,,,,,,
adli29D,1,500,1,1000,,,,,,,,,,,,
LUVK446,2,100,1,103,,,,,,,,,,,,
kumar354V,36,1710,2,301,,,,,,,,,,,,
LNYTO23,1,30,0,0,,,,,,,,,,,,
janju61MR,2,100,0,0,,,,,,,,,,,,
jung823YN,2,50,0,0,,,,,,,,,,,,
alulu53D,25,810,0,0,,,,,,,,,,,,
rosi047YN,1,50,0,0,,,,,,,,,,,,
oghe18D,2,40,0,0,,,,,,,,,,,,
jewel2101,1,50,0,0,,,,,,,,,,,,
jalamba14,11,245,1,100,,,,,,,,,,,,
mulia10D,1,30,0,0,,,,,,,,,,,,
alone3J,1,20,0,0,,,,,,,,,,,,
awas23J,1,20,0,0,,,,,,,,,,,,
gaktau26D,1,200,0,0,,,,,,,,,,,,
CUKJJJ54J,1,50,0,0,,,,,,,,,,,,
afiz970,2,40,0,0,,,,,,,,,,,,
Chris55J,2,40,0,0,,,,,,,,,,,,
kurasa45D,2,70,0,0,,,,,,,,,,,,
nitay82MR,2,61,0,0,,,,,,,,,,,,
mandi762V,1,50,0,0,,,,,,,,,,,,
rumahku44HH,3,90,0,0,,,,,,,,,,,,
JKLTO27,1,50,0,0,,,,,,,,,,,,
SIYTO32,7,353,1,350,,,,,,,,,,,,
jelly184YN,1,30,0,0,,,,,,,,,,,,
irfaan36,1,30,0,0,,,,,,,,,,,,
MinalK2,1,50,0,0,,,,,,,,,,,,
nurcahaya3J,1,30,0,0,,,,,,,,,,,,
INGTO85,1,50,0,0,,,,,,,,,,,,
yurbi91MR,2,70,0,0,,,,,,,,,,,,
waktu85D,1,30,0,0,,,,,,,,,,,,
pitung16D,2,150,0,0,,,,,,,,,,,,
haris84Z,1,35,0,0,,,,,,,,,,,,
Hasan741,6,200,0,0,,,,,,,,,,,,
Muren88,41,2088,2,1552,,,,,,,,,,,,
dolly90MR,2,70,1,150,,,,,,,,,,,,
VERSI15,2,60,0,0,,,,,,,,,,,,
xam472YN,3,90,1,275.83,,,,,,,,,,,,
velt062YN,3,60,0,0,,,,,,,,,,,,
TRUS31,3,80,0,0,,,,,,,,,,,,
mogan460W,1,70,0,0,,,,,,,,,,,,
Ocean528,7,1500,0,0,,,,,,,,,,,,
RAM703YN,1,35,0,0,,,,,,,,,,,,
SYAFIQ64,3,350,1,500,,,,,,,,,,,,
Dress66,1,30,1,100,,,,,,,,,,,,
dudu12D,1,50,0,0,,,,,,,,,,,,
Prasad100,1,30,0,0,,,,,,,,,,,,
GAMTO34,0,0,0,0,,,,,,,,,,,,
koin796W,1,20,0,0,,,,,,,,,,,,
THNTO54,1,100,0,0,,,,,,,,,,,,
HNYTO32,7,310,3,1960,,,,,,,,,,,,
aspar822,1,40,0,0,,,,,,,,,,,,
Elavarasi,1,190,0,0,,,,,,,,,,,,
Danish152,2,63,0,0,,,,,,,,,,,,
badiy72HH,1,30,0,0,,,,,,,,,,,,
MLKTO87,2,60,1,100,,,,,,,,,,,,
lamesia35HH,2,90,0,0,,,,,,,,,,,,
MLV22HH,1,100,0,0,,,,,,,,,,,,
Hamidi045,4,130,0,0,,,,,,,,,,,,
boleha60,10,900,1,600,,,,,,,,,,,,
QWKTO76,1,20,0,0,,,,,,,,,,,,
EO_9112MK,1,50,0,0,,,,,,,,,,,,
pikirnya61HH,1,50,0,0,,,,,,,,,,,,
jupiter91HH,1,27,0,0,,,,,,,,,,,,
duku17MR,4,600,1,800,,,,,,,,,,,,
chandra01HH,1,30,0,0,,,,,,,,,,,,
ISHAK42,2,250,0,0,,,,,,,,,,,,
BILATO40,2,100,0,0,,,,,,,,,,,,
ROSLAN532,9,600,0,0,,,,,,,,,,,,
ATALIA401,1,100,0,0,,,,,,,,,,,,
Alex960,0,0,0,0,,,,,,,,,,,,
geril03MR,1,30.11,0,0,,,,,,,,,,,,
AMATO09,1,67,0,0,,,,,,,,,,,,
MDhelal339,3,200,2,696,,,,,,,,,,,,
paran14MR,1,50,1,692,,,,,,,,,,,,
hahaha102J,2,40,0,0,,,,,,,,,,,,
abubu48ii,10,270,3,410,,,,,,,,,,,,
aneh455J,1,380,0,0,,,,,,,,,,,,
hafizwe3J,3,190,2,322,,,,,,,,,,,,
zam011YN,1,50,0,0,,,,,,,,,,,,
haiss909J,4,220,0,0,,,,,,,,,,,,
kidz955YN,1,20,0,0,,,,,,,,,,,,
putra87Z,2,40,0,0,,,,,,,,,,,,
Khairul,3,300,1,500,,,,,,,,,,,,
rino65D,1,50,0,0,,,,,,,,,,,,
GUARD40,12,590,2,800,,,,,,,,,,,,
Norhayati72,2,60,1,100,,,,,,,,,,,,
hulop02D,2,90,0,0,,,,,,,,,,,,
Usman460,3,70,0,0,,,,,,,,,,,,
CAUTO22,2,60,1,100,,,,,,,,,,,,
Snop_D91MK,1,70,0,0,,,,,,,,,,,,
LLQTO72,1,20,0,0,,,,,,,,,,,,
Mania888,3,70,0,0,,,,,,,,,,,,
snta32D,3,90,1,107,,,,,,,,,,,,
Please46,1,30,0,0,,,,,,,,,,,,
PASCOL15HH,1,200,1,1003,,,,,,,,,,,,
utopia93HH,1,30,0,0,,,,,,,,,,,,
parameswari09,1,20,0,0,,,,,,,,,,,,
match37HH,1,30,0,0,,,,,,,,,,,,
Mummy_79MK,3,136,1,250,,,,,,,,,,,,
cerry641V,1,30,1,200.64,,,,,,,,,,,,
lotus15D,1,30,0,0,,,,,,,,,,,,
never27D,1,20,0,0,,,,,,,,,,,,
PLATO34,1,50,0,0,,,,,,,,,,,,
denny51D,2,100,0,0,,,,,,,,,,,,
syafiq60,4,420,2,600,,,,,,,,,,,,
tangan23D,1,30,0,0,,,,,,,,,,,,
pizza19J,1,28,0,0,,,,,,,,,,,,
super71D,1,100,0,0,,,,,,,,,,,,
QLJTO79,1,50,0,0,,,,,,,,,,,,
ROLAND09,2,90,0,0,,,,,,,,,,,,
emoyt94D,1,100,0,0,,,,,,,,,,,,
jatmol24HH,1,100,0,0,,,,,,,,,,,,
DGNI22,1,30,0,0,,,,,,,,,,,,
smlie39,1,50,0,0,,,,,,,,,,,,
ramai281,2,150,0,0,,,,,,,,,,,,
MDZAIN72J,1,55,0,0,,,,,,,,,,,,
JKYTO25,1,30,0,0,,,,,,,,,,,,
Amoyychott360J,4,109,0,0,,,,,,,,,,,,
loho23D,2,100,1,1000,,,,,,,,,,,,
gondolHH4,2,90,0,0,,,,,,,,,,,,
kakiya24D,1,50,0,0,,,,,,,,,,,,
BUAH497YN,1,25,0,0,,,,,,,,,,,,
topher21D,1,50,0,0,,,,,,,,,,,,
NIATO31,2,200,1,300,,,,,,,,,,,,
gelisah49Z,1,20,0,0,,,,,,,,,,,,
Market200J,1,50,1,210,,,,,,,,,,,,
geprek46HH,1,100,0,0,,,,,,,,,,,,
SHAMLA208,1,35,0,0,,,,,,,,,,,,
siap3J,1,43,0,0,,,,,,,,,,,,
Helal971,2,150,1,500,,,,,,,,,,,,
taripang222,1,20,0,0,,,,,,,,,,,,
NGANTO33,1,20,0,0,,,,,,,,,,,,
RAJBHAR65J,1,30,0,0,,,,,,,,,,,,
segari07D,1,20,0,0,,,,,,,,,,,,
